Artist,Followers,Streams,Playlists,Playlist Reach,Charts,Shazams,Videos,Views,DJ Supports,Error
1080p,6,5986,1,641,,17,45,9800,,
A Shade of Black,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Aaron K,1,2163,,Playlist Reach,1.0,4,2,,,
Abana,7710,468K,175,4.22M,60.0,15.3K,110,1.89M,93,
D. Zeledon,5776,69.6K,25,218K,18.0,764,31,9672,58,
ACRAZE,828K,1.63B,23.7K,604M,2744.0,12.6M,2.89M,22.2B,7698,
KREAM,1.49M,1.53B,17.6K,315M,887.0,3.57M,335K,475M,9987,
Adam Beyer,3.78M,254M,8314,123M,822.0,2M,24.7K,166M,14.6K,
Adam Pearce,25.5K,19.8M,810,21.9M,157.0,14.1K,1632,2.44M,59,
Adam X,36.3K,569K,90,453K,96.0,5981,36,9173,54,
Adrenalize,318K,134M,2708,15.4M,157.0,174K,2018,9.82M,2887,
Wasted Penguinz,697K,214M,2623,18.6M,173.0,343K,3498,15.6M,2704,
Adventure Club,4.04M,1.26B,8099,98.3M,517.0,4.4M,48.6K,74.2M,1599,
AFROdisiac,4515,1.62M,90,576K,1.0,2405,123,49.9K,,
Airglo,31.7K,6.69M,641,5.91M,172.0,34.6K,787,2.08M,356,
Airwolf Paradise,79.2K,40.4M,2569,42.9M,347.0,435K,3346,25.8M,2357,
Akaio,30,10.7K,1,689,,4,1,163,,
Alchimyst,121K,15.7M,836,17.7M,235.0,101K,43.4K,85.8M,525,
Alesso,22.4M,11.7B,60.4K,901M,3321.0,67.9M,627K,1.94B,35.2K,
Algo,72.4K,7.8M,420,15M,33.0,11.1K,221,520K,378,
Alison Wonderland,4.18M,901M,10.2K,188M,706.0,3.24M,50.1K,163M,5183,
Aly & Fila,3.11M,300M,3285,35.8M,991.0,3.19M,21.5K,33.4M,18.4K,
Andrew Bayer,536K,162M,3702,56.1M,784.0,1.97M,33.4K,258M,10.3K,
Andrew Rayel,2.06M,469M,6704,115M,763.0,2.76M,53.2K,103M,14.8K,
Andruss,145K,124M,4762,81.7M,742.0,1.57M,31.7K,129M,5255,
Angerfist,4.74M,955M,4856,23.5M,532.0,1.41M,78.3K,204M,7874,
Arboles Pintados,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Argy,1.72M,686M,9390,151M,1436.0,9.37M,487K,1.2B,11K,
arman.,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Armin van Buuren,35.2M,14.4B,57K,656M,3203.0,80.9M,2.49M,6.99N,79.4K,
ARMNHMR,553K,220M,3127,56M,388.0,276K,8682,40.5M,1309,
Assembly,676,15.6K,,Playlist Reach,2.0,54,1,1938,,
ATLiens,1.03M,192M,2815,20.6M,311.0,412K,22.3K,110M,2140,
Atmozfears,765K,363M,5110,46.6M,341.0,677K,4473,13.6M,7478,
Audiofreq,298K,58M,2105,13.4M,206.0,161K,3049,2.36M,4040,
Azzecca,106K,37M,2681,62M,298.0,421K,5790,21.3M,1516,
Baggi,155K,104M,1467,13.1M,137.0,1.29M,60.6K,42.4M,1593,
Matt Denuzzo,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
BEC,154K,9.25M,852,15.3M,222.0,48.6K,647,16.2M,1091,
Ben Hemsley,411K,146M,3665,59.1M,790.0,801K,19.9K,80M,2833,
Ben Sterling,231K,17.1M,2037,20.6M,314.0,209K,1061,6.43M,2572,
Benny Benassi,5.71M,6.32B,46.7K,537M,2659.0,41.9M,1.86M,10.4B,17.2K,
Bianca Oblivion,44.6K,3.8M,724,15.9M,180.0,68.6K,958,4.18M,332,
Blake Webber,1.68M,2.47M,206,9.43M,17.0,6377,898,10.4M,48,
blake.,1116,139K,29,363K,,258,19,6086,,
Blastoyz,2.1M,290M,3606,31M,542.0,1.07M,39.8K,80.1M,2363,
blklght,30.8K,7.56M,313,5.89M,30.0,35.8K,664,22.8M,61,
Bones,3.56M,5.2B,13.3K,76.4M,883.0,11.5M,1.26M,4.61B,7,
Boogie T,752K,177M,1957,16.7M,202.0,231K,17.9K,16.4M,1009,
Bou,965K,865M,7131,122M,1079.0,3.17M,101K,469M,5070,
Bowie Jane,94.8K,746K,43,364K,12.0,43.1K,87,181K,5,
Brandi Cyrus,1.27M,2.17M,107,1.97M,49.0,1140,402,951K,,
Brina Knauss,315K,4.69M,664,10.1M,128.0,35.2K,499,7.3M,293,
Bryan Kearney,672K,137M,3248,20.7M,596.0,964K,22.6K,33.3M,12.7K,
Bryan Matthew,5,53,,Playlist Reach,,,1,,,
Bunny,12.9K,15.1M,253,12.1M,28.0,7527,455,5.68M,52,
Calussa,66.9K,58.4M,3822,62.4M,344.0,620K,11.6K,42.6M,2300,
Camden Cox,,,,,,,,,,
Carl Cox,8.78M,339M,10.1K,130M,1117.0,2.35M,32K,92.5M,8394,
Nicole Moudaber,1.91M,78.9M,4467,69.2M,715.0,1.01M,10.4K,29.6M,9946,
Caspa,798K,108M,1449,12.5M,216.0,699K,6711,124M,1247,
Cassian,700K,292M,8860,148M,872.0,2.63M,65.6K,214M,8376,
Castor & Pollux,62.2K,9.98M,1166,31.9M,61.0,35.8K,664,2.05M,863,
Cat & Maomi,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
CELO,13.4K,2.36M,252,1.93M,42.0,5282,368,684K,351,
CHAMP FRESNEL,,,,,,,,,,"Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""a[href*=\""/artist/\""]"").first
"
Chef Boyarbeatz,69.3K,4.39M,431,3.69M,49.0,12.2K,641,1.09M,209,
Chelina Manuhutu,517K,4.41M,683,9.54M,119.0,43.7K,858,2.94M,536,
Chibs,153K,32.9M,852,2.97M,117.0,34K,2015,17.4M,586,
Clawz,21.1K,426K,67,974K,5.0,955,41,240K,3,
DØMINA,212K,3.2M,170,4.77M,31.0,15.5K,1502,4.56M,31,
Codeko,,,,,,,,,,
Crankdat,2.87M,499M,5609,108M,592.0,934K,37.8K,234M,8934,
Creeds,457K,819M,9919,214M,1639.0,5.23M,1.17M,3.63B,1863,
Helen Ka,7848,20.8M,388,1.28M,28.0,50.1K,780,1.19M,33,
Cristoph,340K,417M,10.2K,165M,1153.0,3.68M,24.1K,53.4M,12.8K,
Crystal Skies,173K,142M,2870,35.3M,428.0,252K,9382,16.6M,817,
Culture Shock,493K,294M,4348,49.2M,755.0,1.23M,13.5K,29.6M,5474,
D!CED,1914,9896,8,150K,,9,1,,,
D-Sturb,494K,407M,4478,33.9M,390.0,518K,6959,33.8M,7258,
Da Tweekaz,1.89M,1.45B,10.4K,71M,932.0,2.73M,322K,932M,11.8K,
Dabin,883K,775M,7395,104M,927.0,1.22M,45.6K,140M,2508,
Damon Sharpe,303K,148M,4870,151M,378.0,277K,5480,105M,1173,
David Guetta,,,,,,,,,,
Daxson,358K,44.9M,975,8.79M,388.0,239K,36.3K,48.7M,5357,
Dead X,24.3K,9.82M,519,3.37M,64.0,8610,377,1.06M,24,
Levenkhan,41.5K,34.7M,1133,7.64M,162.0,71K,4588,17.6M,195,
Deadly Guns,499K,299M,2909,16.3M,288.0,404K,7017,34.8M,3194,
deadmau5,23.5M,4.34B,28.5K,360M,2108.0,21M,332K,1.07B,24.3K,
DEATH CODE,3145,4M,380,1.86M,55.0,5551,179,502K,187,
Deborah De Luca,6.21M,352M,5023,72.5M,1005.0,2.17M,159K,185M,2286,
Dee Jay Silver,341K,34M,388,2.83M,13.0,105K,22K,93.6M,,
Deeper Purpose,189K,75.8M,4689,41.6M,521.0,720K,5381,46.2M,4245,
Denis Sulta,471K,52.6M,2284,28.5M,321.0,325K,1026,4.38M,709,
Deorro,7.27M,4.23B,36.4K,436M,2059.0,62M,1.26M,4.04B,14.8K,
Devault,279K,722M,11.3K,255M,1012.0,2.13M,11.3K,112M,967,
Devin Wild,302K,126M,2665,31.4M,357.0,198K,2131,11.2M,3853,
Keltek,341K,177M,2772,14.6M,223.0,261K,4504,13M,2448,
