year,artist
2025,$ami G
2025,2AR
2025,33 Below
2025,MPH
2025,6ejou
2025,Adam Ten
2025,Mita Gami
2025,Adrenalize
2025,Afrojack
2025,AfroMantis Collective
2025,AHEE
2025,Ahmed Spins
2025,Airrica
2025,Alcala Bros
2025,Alesso
2025,Alex Chapman
2025,Zoe Gitter
2025,Alignment
2025,Alison Wonderland
2025,Kaskade
2025,Alison Wonderland
2025,Allenora
2025,ALLEYCVT
2025,Alok
2025,Amal Nemer
2025,Amelie Lens
2025,AMÉMÉ
2025,ANATTA
2025,Andre Power
2025,Andromedik
2025,Andy C
2025,ANGEL CANNON
2025,AniMe
2025,Annicka
2025,Anoluxx
2025,Apashe
2025,AQUTIE
2025,The Archer
2025,Loco & Jam
2025,Argy
2025,arman.
2025,Armand Van Helden
2025,Armin van Buuren
2025,ARMNHMR
2025,ARODES
2025,ARODES
2025,ARTBAT
2025,MORTEN
2025,Assembly
2025,ATLiens
2025,Avalon
2025,Avi Snow
2025,AYYBO
2025,BACKCOURT
2025,Baggi
2025,Basstripper
2025,Sota
2025,Basswell
2025,Beltran
2025,Ben Hemsley
2025,Ben Nicky
2025,Ben Sterling
2025,Rossi.
2025,Ben Sterling
2025,Beltran
2025,Ben Sterling
2025,Ahmed Spins
2025,Bicep
2025,Aaron K
2025,BIIA
2025,Billy Gillies
2025,Biscits
2025,Black Tiger Sex Machine
2025,blklght
2025,BLOND:ISH
2025,Bo Knows
2025,Boizy
2025,Bones
2025,Bontan
2025,Calussa
2025,Boys Noize
2025,Boys Noize
2025,BRDWY
2025,Brody Jenner
2025,Brutalismus 3000
2025,Bunny
2025,Caleb Dent
2025,Calussa
2025,Caravel
2025,Carlita
2025,Caspa
2025,Rusko
2025,Cato Anaya
2025,CELO
2025,Cera Khin
2025,CHAMP FRESNEL
2025,Champion
2025,Charlotte de Witte
2025,Chase & Status
2025,Chris Avantgarde
2025,CHYL
2025,Clara Cuvé
2025,Clawz
2025,Cloonee
2025,Code Black
2025,Cole Knight
2025,Cole Knight
2025,Corey Biggs
2025,Cosmic Gate
2025,Country Night
2025,Crankdat
2025,Crankdat
2025,Tape B
2025,CUTDWN
2025,D-Sturb
2025,Da Capo
2025,Da Tweekaz
2025,Damon Sharpe
2025,Daniel Allan
2025,Danny Avila
2025,Darren Styles
2025,David Forbes
2025,David Rust
2025,Dea Magna
2025,Dead X
2025,DEATH CODE
2025,KAMI
2025,DEE/MA
2025,Dena
2025,Dennis Cruz
2025,Deorro
2025,Devin Wild
2025,Dimension
2025,Disco Dom
2025,Disco Lines
2025,Discrete
2025,Distinct Motive
2025,DJ Fuckoff
2025,DJ Gigola
2025,DJ Lag
2025,DJ Lag
2025,DJ Slim McGraw
2025,DJ Snake
2025,DJ Snake
2025,Dom Dolla
2025,Dom Dolla
2025,Chase & Status
2025,Dombresky
2025,DRĖĖĖMY
2025,DRINKURWATER
2025,Dual Damage
2025,Dylan Brady
2025,Elephante
2025,Eli Brown
2025,Eli Fola
2025,Emo Nite
2025,Eric Prydz
2025,€URO TRA$H
2025,Excision
2025,Fcukers
2025,Fireworks
2025,Fireworks
2025,Fireworks
2025,Fisher
2025,Francis Mercier
2025,Funk Tribu
2025,ØTTA
2025,Funk Tribu
2025,Fury&Dknow (MC Dino)
2025,Gaia (CO)
2025,Gesaffelstein
