rank,artist
1,Max Styler
2,ARTBAT
3,Chris Lake
4,David Guetta
5,GENESI
6,HUGEL
7,Anyma
8,Armin van Buuren
9,Mau P
10,Tiësto
11,John Summit
12,ARGY
13,BLR
14,MEDUZA
15,CASSIMM
16,Vintage Culture
17,Layton Giordani
18,Massano
19,Odd Mob
20,Dimitri Vegas
21,KREAM
22,Chris Lorenzo
23,Oliver Heldens
24,CAMELPHAT
25,Skytech
26,Crusy
27,Adam Beyer
28,ALOK
29,James Hurr
30,Matt Sassari
31,James Hype
32,MORTEN
33,Sebastian Ingrosso
34,David Forbes
35,Wh0
36,Like Mike
37,Steve Angello
38,SIDEPIECE
39,Ferry Corsten
40,Tony Romera
41,FISHER
42,Don Diablo
43,HNTR
44,TH;EN
45,Low Steppa
46,Alex M.O.R.P.H.
47,Matroda
48,Fedde Le Grand
49,Martin Garrix
50,Lucas & Steve
51,Alexander Popov
52,Cassian
53,SCRIPT
54,Adam Port
55,Eli Brown
56,Martin Ikin
57,Giuseppe Ottaviani
58,RUBACK
59,David Penn
60,Marie Vaunt
61,Bassjackers
62,Gabry Ponte
63,Allen Watts
64,R3HAB
65,Öwnboss
66,Steve Aoki
67,Westend
68,Maddix
69,Chapter & Verse
70,Roman Messer
71,HILLS
72,Innellea
73,Hardwell
74,Gai Barone
75,Miss Monique
76,Cloonee
77,Sammy Virji
78,W&W
79,Gorgon City
80,GREG (BR)
81,TUJAMO
82,CID
83,D.O.D
84,KOROLOVA
85,DONT BLINK
86,BISCITS
87,Adriatique
88,Guy J
89,Goom Gum
90,PAWSA
91,Space 92
92,San Pacho
93,Rafael Cerato
94,Samm (BE)
95,Marsh
96,Joshwa
97,Nicky Romero
98,Mark Sherry
99,MARTEN HØRGER
100,Eximinds
101,Mark Knight
