artist,recidency_club
4B,Hakkasan
4B,Omnia
Above & Beyond,Marquee
Above & Beyond,Tao
Above & Beyond,Hakkasan
Above & Beyond,Omnia
Acraze,Marquee
Acraze,Tao
Acraze,Hakkasan
Acraze,Omnia
Afrojack,XS
Afrojack,Encore Beach Club
Alan Walker,Marquee
Alan Walker,Tao
Alan Walker,Hakkasan
Alan Walker,Omnia
Alison Wonderland,TBD
Alesso,Marquee
Alesso,Tao
Alesso,Hakkasan
Alesso,Omnia
Alok,XS
Alok,Encore Beach Club
Andrew Rayel,Marquee Nightclub
Andrew Rayel,Marquee Dayclub
Angie Vee,Marquee
Angie Vee,Tao
Anna Lunoe,RBD
Armin van Buuren,Omnia
Arty,RBD
Audien,Zouk Nightclub
Audien,Ayu Dayclub
Axwell,TBD
Baauer,TBD
Becky G,Zouk Nightclub
Becky G,Ayu Dayclub
Bedouin,XS
Bedouin,Encore Beach Club
Benny Benassi,Marquee Nightclub
Benny Benassi,Marquee Dayclub
Black Coffee,Marquee
Black Coffee,Tao
Black Coffee,Hakkasan
Black Coffee,Omnia
Blondish,Zouk Nightclub
Blondish,Ayu Dayclub
Bob Moses,Marquee
Bob Moses,Tao
Bob Moses,Hakkasan
Bob Moses,Omnia
Boombox Cartel,TBD
Borgeous,TBD
Breathe Carolina,Zouk Nightclub
Breathe Carolina,Ayu Dayclub
Brody Jenner,Marquee
Brody Jenner,Tao
Brody Jenner,Hakkasan
Brody Jenner,Omnia
Brooks,TBD
Burns,Hakkasan
Burns,Omnia
Burns,Wet Republic
Calvin Harris,XS
Calvin Harris,Encore Beach Club
Camelphat,Zouk Nightclub
Camelphat,Ayu Dayclub
Carl Cox,XS
Carl Cox,Encore Beach Club
Cash Cash,Zouk Nightclub
Cash Cash,Ayu Dayclub
Cedric Gervais,Marquee
Cedric Gervais,XS
Cedric Gervais,Encore Beach Club
Chantel Jeffries,Hakkasan
Chantel Jeffries,Omnia
Chantel Jeffries,Wet Republic
Charly Jordan,Zouk Nightclub
Charly Jordan,Ayu Dayclub
Cheat Codes,Zouk Nightclub
Cheat Codes,Ayu Dayclub
Chris Lake,Marquee Nightclub
Chris Lake,Marquee Dayclub
Chris Lake,Tao Beach
Chuckie,Marquee
Claude VonStroke,Discopussy
Cloonee,Liv Nightclub
