artist,total_appearances,years_played
dom dolla,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
soren,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
tiësto,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
marc v,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
lil texas,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
excision,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
adrenalize,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
deorro,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
trouble,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
matroda,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
fireworks,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
fisher,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
jessica audiffred,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
baggi,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
special guest,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
kaskade,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
armin van buuren,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
armnhmr,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
d-sturb,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
assembly,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
hugel,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
da tweekaz,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
lady faith,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
sub zero project,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
svdden death,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
level up,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
bunny,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
bones,5,"[np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
levenkhan,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
loco dice,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
cosmic gate,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
alok,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
ben nicky,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
noizu,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
dj snake,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
martin garrix,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
discrete,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
soul purpose,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
tim clark,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
dimension,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
anime,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
alison wonderland,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
mau p,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
arman.,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
taylor kade,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
atliens,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
meduza,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
darren styles,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
neon deluz,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
odd mob,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
damon sharpe,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
yellow claw,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
eric prydz,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
illenium,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
i hate models,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
kaysin,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
james hype,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
eli brown,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
simfonik,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
biscits,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
party dads,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
vintage culture,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
vini vici,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
sidepiece,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
riot ten,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
alesso,4,"[np.int64(2022), np.int64(2024), np.int64(2025), np.int64(2026)]"
lady sinclair,4,"[np.int64(2022), np.int64(2023), np.int64(2025), np.int64(2026)]"
slander,4,"[np.int64(2023), np.int64(2024), np.int64(2025), np.int64(2026)]"
champ fresnel,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
quality g,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
celo,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
ray volpe,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
mr. brooks,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
morten,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
caspa,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
rezz,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
calussa,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
riordan,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
pocket,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
mochakk,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
plsandty,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
chyl,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
code black,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
cloonee,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
clawz,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
nightstalker,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
omar santana,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
nick garcia,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
nghtmre,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
charlotte de witte,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
partiboi69,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
paul oakenfold,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
crankdat,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
nora en pure,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
chase and status,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
myles o'neal,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
netsky,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
€uro tra$h,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
miyuki,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
kompany,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
emo nite,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
kami,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
kai wachi,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
k.gianni,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
fallen,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
ferry corsten,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
fester,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
jon casey,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
francis mercier,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
jackie hollander,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
frosttop,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
interplanetary criminal,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
fury,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
hot since 82,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
highlnd,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
heidi lawden,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
giuseppe ottaviani,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
hedex,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
harristone,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
harmson,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
hannah laing,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
kian,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
korolova,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
dead x,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
kream,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
deadly guns,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
max styler,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
death code,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
deeper purpose,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
matt faulk,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
masha mar,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
dennis cruz,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
rusko,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
devin wild,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
malcolm zeller,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
disco lines,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
maddix,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
lucky lou,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
loud luxury,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
liquid stranger,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
lf system,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
dknow (mc dino),3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
le youth,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
dombresky,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
layz,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
ky william,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
roadhouse,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
habstrakt,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
alleycvt,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
artbat,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
yosuf,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
the archer,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
afrojack,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
tha funk junkie,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
acraze,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
black tiger sex machine,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
water spirit,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
subtronics,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
vari,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
sullivan king,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
blklght,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
blake webber,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
abana,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
argy,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
aaron k,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
tape b,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
blastoyz,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
ben sterling,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
the martinez brothers,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
zevy,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
billy gillies,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
torren foot,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
anatta,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
westend,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
sound rush,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
audiofreq,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
sosa,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
andy c,3,"[np.int64(2023), np.int64(2025), np.int64(2026)]"
shlømo,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
soothslayer,3,"[np.int64(2022), np.int64(2025), np.int64(2026)]"
zedd,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
boogie t,3,"[np.int64(2022), np.int64(2023), np.int64(2024)]"
vavo,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
sara landry,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
tripps,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
ben hemsley,3,"[np.int64(2024), np.int64(2025), np.int64(2026)]"
koven,2,"[np.int64(2022), np.int64(2024)]"
villager,2,"[np.int64(2025), np.int64(2026)]"
samplifire,2,"[np.int64(2025), np.int64(2026)]"
virtual riot,2,"[np.int64(2022), np.int64(2024)]"
kitty amor,2,"[np.int64(2025), np.int64(2026)]"
kittrix,2,"[np.int64(2022), np.int64(2024)]"
kilimanjaro,2,"[np.int64(2025), np.int64(2026)]"
kieran san jose,2,"[np.int64(2025), np.int64(2026)]"
kidmaverick,2,"[np.int64(2025), np.int64(2026)]"
vnssa,2,"[np.int64(2025), np.int64(2026)]"
kenzii scott,2,"[np.int64(2025), np.int64(2026)]"
kendoll,2,"[np.int64(2022), np.int64(2024)]"
vnssaandnala,2,"[np.int64(2025), np.int64(2026)]"
kayzo,2,"[np.int64(2022), np.int64(2024)]"
victor ruiz,2,"[np.int64(2025), np.int64(2026)]"
lake hills,2,"[np.int64(2025), np.int64(2026)]"
kromi,2,"[np.int64(2025), np.int64(2026)]"
ksofresko,2,"[np.int64(2022), np.int64(2023)]"
lostly,2,"[np.int64(2025), np.int64(2026)]"
trance wax,2,"[np.int64(2025), np.int64(2026)]"
loco and jam,2,"[np.int64(2025), np.int64(2026)]"
lizdek,2,"[np.int64(2025), np.int64(2026)]"
trickstar,2,"[np.int64(2025), np.int64(2026)]"
linska,2,"[np.int64(2025), np.int64(2026)]"
linney,2,"[np.int64(2025), np.int64(2026)]"
trivecta,2,"[np.int64(2025), np.int64(2026)]"
truth,2,"[np.int64(2025), np.int64(2026)]"
levity,2,"[np.int64(2025), np.int64(2026)]"
tsu nami,2,"[np.int64(2022), np.int64(2023)]"
tweekacore,2,"[np.int64(2022), np.int64(2023)]"
twenty six,2,"[np.int64(2025), np.int64(2026)]"
uncle waffles,2,"[np.int64(2025), np.int64(2026)]"
valentino khan,2,"[np.int64(2023), np.int64(2024)]"
layton giordani,2,"[np.int64(2025), np.int64(2026)]"
lavern,2,"[np.int64(2025), np.int64(2026)]"
lauren mia,2,"[np.int64(2025), np.int64(2026)]"
laura van dam,2,"[np.int64(2025), np.int64(2026)]"
wade,2,"[np.int64(2022), np.int64(2024)]"
vastive,2,"[np.int64(2025), np.int64(2026)]"
kyle watson,2,"[np.int64(2025), np.int64(2026)]"
veggi,2,"[np.int64(2025), np.int64(2026)]"
vulllgur,2,"[np.int64(2023), np.int64(2024)]"
