artist,followers,streams,playlists,playlist reach,charts,shazams,videos,views,dj supports,total_appearances,years_played,agency
1080p,6,5986,1,641,0,17,45,9800,0,1,2024,insomniac
a shade of black,0,15100,0,11000,7,0,0,0,0,1,2024,
aaron k,1,2163,0,0,1,4,2,0,0,2,"2024, 2025",insomniac
abana,7710,468000,175,4220000,60,15300,110,1890000,93,3,"2022, 2023, 2024",insomniac
d. zeledon,5776,69600,25,218000,18,764,31,9672,58,1,2024,insomniac
acraze,828000,1630000000,23700,604000000,2744,12600000,2890000,22200000000,7698,3,"2022, 2023, 2024",insomniac
acraze,828000,1630000000,23700,604000000,2744,12600000,2890000,22200000000,7698,3,"2022, 2023, 2024",uta
kream,1490000,1530000000,17600,315000000,887,3570000,335000,475000000,9987,3,"2022, 2023, 2024",insomniac
kream,1490000,1530000000,17600,315000000,887,3570000,335000,475000000,9987,3,"2022, 2023, 2024",uta
adam beyer,3780000,254000000,8314,123000000,822,2000000,24700,166000000,14600,2,"2022, 2024",insomniac
adam beyer,3780000,254000000,8314,123000000,822,2000000,24700,166000000,14600,2,"2022, 2024",wme
adam pearce,25500,19800000,810,21900000,157,14100,1632,2440000,59,1,2024,insomniac
adam x,36300,569000,90,453000,96,5981,36,9173,54,1,2024,insomniac
adrenalize,318000,134000000,2708,15400000,157,174000,2018,9820000,2887,4,"2022, 2023, 2024, 2025",insomniac
adrenalize,318000,134000000,2708,15400000,157,174000,2018,9820000,2887,4,"2022, 2023, 2024, 2025",corson
wasted penguinz,697000,214000000,2623,18600000,173,343000,3498,15600000,2704,1,2024,insomniac
wasted penguinz,697000,214000000,2623,18600000,173,343000,3498,15600000,2704,1,2024,corson
adventure club,4040000,1260000000,8099,98300000,517,4400000,48600,74200000,1599,1,2024,insomniac
adventure club,4040000,1260000000,8099,98300000,517,4400000,48600,74200000,1599,1,2024,uta
afrodisiac,4515,1620000,90,576000,1,2405,123,49900,0,1,2024,insomniac
airglo,31700,6690000,641,5910000,172,34600,787,2080000,356,2,"2023, 2024",insomniac
airglo,31700,6690000,641,5910000,172,34600,787,2080000,356,2,"2023, 2024",corson
airwolf paradise,79200,40400000,2569,42900000,347,435000,3346,25800000,2357,1,2024,insomniac
airwolf paradise,79200,40400000,2569,42900000,347,435000,3346,25800000,2357,1,2024,wasserman
akaio,30,10700,1,689,0,4,1,163,0,1,2024,insomniac
alchimyst,121000,15700000,836,17700000,235,101000,43400,85800000,525,1,2024,insomniac
alesso,22400000,11700000000,60400,901000000,3321,67900000,627000,1940000000,35200,3,"2022, 2024, 2025",insomniac
algo,72400,7800000,420,15000000,33,11100,221,520000,378,1,2024,insomniac
alison wonderland,4179999,901000000,10200,188000000,706,3240000,50100,163000000,5183,3,"2023, 2024, 2025",insomniac
alison wonderland,4179999,901000000,10200,188000000,706,3240000,50100,163000000,5183,3,"2023, 2024, 2025",wasserman
aly & fila,3110000,300000000,3285,35800000,991,3190000,21500,33400000,18400,1,,
andrew bayer,536000,162000000,3702,56100000,784,1970000,33400,258000000,10300,1,2024,insomniac
andrew bayer,536000,162000000,3702,56100000,784,1970000,33400,258000000,10300,1,2024,wasserman
andrew rayel,2060000,469000000,6704,115000000,763,2760000,53200,103000000,14800,2,"2022, 2024",insomniac
andruss,145000,124000000,4762,81700000,742,1570000,31700,129000000,5255,1,2024,insomniac
angerfist,4740000,955000000,4856,23500000,532,1410000,78300,204000000,7874,1,2024,insomniac
angerfist,4740000,955000000,4856,23500000,532,1410000,78300,204000000,7874,1,2024,uta
argy,1720000,686000000,9390,151000000,1436,9370000,487000,1200000000,11000,2,"2024, 2025",insomniac
argy,1720000,686000000,9390,151000000,1436,9370000,487000,1200000000,11000,2,"2024, 2025",wme
armin van buuren,35200000,14400000000,57000,656000000,3203,80900000,2490000,6.99N,79400,4,"2022, 2023, 2024, 2025",insomniac
armnhmr,553000,220000000,3127,56000000,388,276000,8682,40500000,1309,4,"2022, 2023, 2024, 2025",insomniac
armnhmr,553000,220000000,3127,56000000,388,276000,8682,40500000,1309,4,"2022, 2023, 2024, 2025",uta
assembly,676,15600,0,0,2,54,1,1938,0,4,"2022, 2023, 2024, 2025",insomniac
atliens,1030000,192000000,2815,20600000,311,412000,22300,110000000,2140,3,"2022, 2024, 2025",insomniac
atliens,1030000,192000000,2815,20600000,311,412000,22300,110000000,2140,3,"2022, 2024, 2025",uta
atmozfears,765000,363000000,5110,46600000,341,677000,4473,13600000,7478,1,2024,insomniac
atmozfears,765000,363000000,5110,46600000,341,677000,4473,13600000,7478,1,2024,corson
audiofreq,298000,58000000,2105,13400000,206,161000,3049,2360000,4040,3,"2022, 2023, 2024",insomniac
audiofreq,298000,58000000,2105,13400000,206,161000,3049,2360000,4040,3,"2022, 2023, 2024",corson
azzecca,106000,37000000,2681,62000000,298,421000,5790,21300000,1516,2,"2023, 2024",insomniac
azzecca,106000,37000000,2681,62000000,298,421000,5790,21300000,1516,2,"2023, 2024",wasserman
baggi,155000,104000000,1467,13100000,137,1290000,60600,42400000,1593,4,"2022, 2023, 2024, 2025",insomniac
bec,154000,9250000,852,15300000,222,48600,647,16200000,1091,1,2024,insomniac
ben hemsley,411000,146000000,3665,59100000,790,801000,19900,80000000,2833,2,"2024, 2025",insomniac
ben sterling,231000,17100000,2037,20600000,314,209000,1061,6430000,2572,2,"2024, 2025",insomniac
benny benassi,5710000,6320000000,46700,537000000,2659,41900000,1860000,10400000000,17200,1,2024,insomniac
benny benassi,5710000,6320000000,46700,537000000,2659,41900000,1860000,10400000000,17200,1,2024,wasserman
bianca oblivion,44600,3800000,724,15900000,180,68600,958,4179999,332,1,2024,insomniac
blake webber,1680000,2470000,206,9430000,17,6377,898,10400000,48,3,"2022, 2023, 2024",insomniac
blake.,1116,139000,29,363000,0,258,19,6086,0,1,2024,insomniac
blastoyz,2100000,290000000,3606,31000000,542,1070000,39800,80100000,2363,3,"2022, 2023, 2024",insomniac
blastoyz,2100000,290000000,3606,31000000,542,1070000,39800,80100000,2363,3,"2022, 2023, 2024",uta
blklght,30800,7560000,313,5890000,30,35800,664,22800000,61,2,"2024, 2025",insomniac
bones,3560000,5200000000,13300,76400000,883,11500000,1260000,4610000000,7,4,"2022, 2023, 2024, 2025",insomniac
boogie t,752000,177000000,1957,16700000,202,231000,17900,16399999,1009,3,"2022, 2023, 2024",insomniac
boogie t,752000,177000000,1957,16700000,202,231000,17900,16399999,1009,3,"2022, 2023, 2024",wasserman
bou,965000,865000000,7131,122000000,1079,3170000,101000,469000000,5070,1,2024,insomniac
bou,965000,865000000,7131,122000000,1079,3170000,101000,469000000,5070,1,2024,uta
bowie jane,94800,746000,43,364000,12,43100,87,181000,5,1,2024,insomniac
brandi cyrus,1270000,2170000,107,1970000,49,1140,402,951000,0,1,2024,insomniac
brina knauss,315000,4690000,664,10100000,128,35200,499,7300000,293,1,2024,insomniac
bryan kearney,672000,137000000,3248,20700000,596,964000,22600,33299999,12700,1,2024,insomniac
bryan matthew,404000,53,60700,0,1,0,1,388000,0,1,2024,insomniac
bunny,12900,15100000,253,12100000,28,7527,455,5680000,52,4,"2022, 2023, 2024, 2025",insomniac
calussa,66900,58400000,3822,62400000,344,620000,11600,42600000,2300,2,"2024, 2025",insomniac
camden cox,88300,278000000,0,196000000,968,2080000,30700,227000000,3700,2,"2023, 2024",insomniac
carl cox,8780000,339000000,10100,130000000,1117,2350000,32000,92500000,8394,1,2024,insomniac
nicole moudaber,1910000,78900000,4467,69200000,715,1010000,10400,29600000,9946,1,2024,insomniac
caspa,798000,108000000,1449,12500000,216,699000,6711,124000000,1247,2,"2024, 2025",insomniac
caspa,798000,108000000,1449,12500000,216,699000,6711,124000000,1247,2,"2024, 2025",uta
cassian,700000,292000000,8860,148000000,872,2630000,65600,214000000,8376,1,2024,insomniac
cassian,700000,292000000,8860,148000000,872,2630000,65600,214000000,8376,1,2024,wasserman
castor & pollux,62200,9980000,1166,31900000,61,35800,664,2049999,863,1,,
cat & maomi,0,13600,0,191000,3,0,0,37500,3,1,,
celo,13400,2360000,252,1930000,42,5282,368,684000,351,2,"2024, 2025",insomniac
chef boyarbeatz,69300,4390000,431,3690000,49,12200,641,1090000,209,1,2024,insomniac
chelina manuhutu,517000,4410000,683,9540000,119,43700,858,2940000,536,1,2024,insomniac
chibs,153000,32900000,852,2970000,117,34000,2015,17400000,586,1,2024,insomniac
clawz,21100,426000,67,974000,5,955,41,240000,3,2,"2024, 2025",insomniac
clawz,21100,426000,67,974000,5,955,41,240000,3,2,"2024, 2025",corson
dømina,212000,3200000,170,4770000,31,15500,1502,4560000,31,1,2024,insomniac
dømina,212000,3200000,170,4770000,31,15500,1502,4560000,31,1,2024,uta
codeko,161000,187000000,0,90600000,433,318000,15200,22700000,1132,1,2024,insomniac
crankdat,2870000,499000000,5609,108000000,592,934000,37800,234000000,8934,2,"2024, 2025",insomniac
creeds,457000,819000000,9919,214000000,1639,5230000,1170000,3630000000,1863,1,2024,insomniac
helen ka,7848,20800000,388,1280000,28,50100,780,1190000,33,1,2024,insomniac
cristoph,340000,417000000,10200,165000000,1153,3680000,24100,53400000,12800,1,2024,insomniac
cristoph,340000,417000000,10200,165000000,1153,3680000,24100,53400000,12800,1,2024,caa
crystal skies,173000,142000000,2870,35300000,428,252000,9382,16600000,817,2,"2022, 2024",insomniac
culture shock,493000,294000000,4348,49200000,755,1230000,13500,29600000,5474,1,2024,insomniac
culture shock,493000,294000000,4348,49200000,755,1230000,13500,29600000,5474,1,2024,wasserman
d!ced,1914,9896,8,150000,0,9,1,0,0,2,"2022, 2024",insomniac
d-sturb,494000,407000000,4478,33900000,390,518000,6959,33800000,7258,4,"2022, 2023, 2024, 2025",insomniac
da tweekaz,1890000,1450000000,10400,71000000,932,2730000,322000,932000000,11800,4,"2022, 2023, 2024, 2025",insomniac
da tweekaz,1890000,1450000000,10400,71000000,932,2730000,322000,932000000,11800,4,"2022, 2023, 2024, 2025",corson
dabin,883000,775000000,7395,104000000,927,1220000,45600,140000000,2508,1,2024,insomniac
dabin,883000,775000000,7395,104000000,927,1220000,45600,140000000,2508,1,2024,uta
damon sharpe,303000,148000000,4870,151000000,378,277000,5480,105000000,1173,3,"2022, 2024, 2025",insomniac
david guetta,176000000,73600000,169000,1770000000,6579,362000000,17100000,49200000000,76000,2,"2023, 2024",insomniac
david guetta,176000000,73600000,169000,1770000000,6579,362000000,17100000,49200000000,76000,2,"2023, 2024",wasserman
david guetta,176000000,73600000,169000,1770000000,6579,362000000,17100000,49200000000,76000,2,"2023, 2024",caa
daxson,358000,44900000,975,8790000,388,239000,36300,48700000,5357,1,2024,insomniac
dead x,24300,9820000,519,3370000,64,8610,377,1060000,24,2,"2024, 2025",insomniac
levenkhan,41500,34700000,1133,7640000,162,71000,4588,17600000,195,3,"2023, 2024, 2025",insomniac
deadly guns,499000,299000000,2909,16300000,288,404000,7017,34800000,3194,3,"2022, 2023, 2024",insomniac
deadmau5,23500000,4340000000,28500,360000000,2108,21000000,332000,1070000000,24300,1,2024,insomniac
deadmau5,23500000,4340000000,28500,360000000,2108,21000000,332000,1070000000,24300,1,2024,caa
death code,3145,4000000,380,1860000,55,5551,179,502000,187,2,"2024, 2025",insomniac
death code,3145,4000000,380,1860000,55,5551,179,502000,187,2,"2024, 2025",corson
deborah de luca,6210000,352000000,5023,72500000,1005,2170000,159000,185000000,2286,2,"2022, 2024",insomniac
dee jay silver,341000,34000000,388,2830000,13,105000,22000,93600000,0,1,2024,insomniac
deeper purpose,189000,75800000,4689,41600000,521,720000,5381,46200000,4245,3,"2022, 2023, 2024",insomniac
denis sulta,471000,52600000,2284,28500000,321,325000,1026,4380000,709,1,2024,insomniac
deorro,7270000,4230000000,36400,436000000,2059,62000000,1260000,4040000000,14800,4,"2022, 2023, 2024, 2025",insomniac
deorro,7270000,4230000000,36400,436000000,2059,62000000,1260000,4040000000,14800,4,"2022, 2023, 2024, 2025",uta
devault,279000,722000000,11300,255000000,1012,2130000,11300,112000000,967,1,2024,insomniac
devault,279000,722000000,11300,255000000,1012,2130000,11300,112000000,967,1,2024,wasserman
devin wild,302000,126000000,2665,31400000,357,198000,2131,11200000,3853,2,"2024, 2025",insomniac
devin wild,302000,126000000,2665,31400000,357,198000,2131,11200000,3853,2,"2024, 2025",corson
keltek,341000,177000000,2772,14600000,223,261000,4504,13000000,2448,1,2024,insomniac
keltek,341000,177000000,2772,14600000,223,261000,4504,13000000,2448,1,2024,corson
dillon francis,20600000,4440000000,35300,536000000,1863,27600000,2560000,10800000000,19900,2,"2022, 2024",insomniac
dillon francis,20600000,4440000000,35300,536000000,1863,27600000,2560000,10800000000,19900,2,"2022, 2024",wasserman
dimension,887000,832000000,7787,127000000,928,3430000,77200,336000000,7762,3,"2023, 2024, 2025",insomniac
dimension,887000,832000000,7787,127000000,928,3430000,77200,336000000,7762,3,"2023, 2024, 2025",uta
diplo,33000000,30300000000,134000,1670000000,5743,143000000,7380000,16300000000,36300,1,2024,insomniac
diplo,33000000,30300000000,134000,1670000000,5743,143000000,7380000,16300000000,36300,1,2024,wasserman
diplo,33000000,30300000000,134000,1670000000,5743,143000000,7380000,16300000000,36300,1,2024,uta
disco fries,165000,213000000,7399,163000000,530,1210000,31400,164000000,3247,1,2024,insomniac
discrete,16100,357000,63,89700,35,12700,89,3045,47,3,"2023, 2024, 2025",insomniac
dj hazel,4161,1470000,5,4107,3,6031,143,714000,0,1,2024,insomniac
dj heartstring,384000,170000000,3112,57400000,594,409000,13500,116000000,629,1,2024,insomniac
dj heartstring,384000,170000000,3112,57400000,594,409000,13500,116000000,629,1,2024,wasserman
dj minx,78200,6810000,1328,26500000,333,70100,539,1620000,1284,2,"2023, 2024",insomniac
dj snake,75700000,35100000000,106000,1370000000,4715,206000000,57500000,29500000000,29600,3,"2022, 2024, 2025",insomniac
dj snake,75700000,35100000000,106000,1370000000,4715,206000000,57500000,29500000000,29600,3,"2022, 2024, 2025",wasserman
dom dolla,4210000,2029999999,24100,375000000,1715,11000000,290000,1600000000,13800,4,"2022, 2023, 2024, 2025",insomniac
dom dolla,4210000,2029999999,24100,375000000,1715,11000000,290000,1600000000,13800,4,"2022, 2023, 2024, 2025",wasserman
doses,3343,34100,4,67400,0,22,7,3547,0,1,2024,insomniac
dreya v,40700,7550000,1260,41500000,190,59000,526,1650000,1030,2,"2023, 2024",insomniac
east end dubs,501000,35900000,1547,15200000,241,203000,1264,5100000,1674,1,2024,insomniac
egzod,677000,1740000000,7181,84400000,1299,8480000,2290000,14500000000,285,1,2024,insomniac
eli brown,750000,581000000,14000,231000000,1277,3640000,35100,212000000,14600,3,"2023, 2024, 2025",insomniac
