artist,total_appearances,years_played
armnhmr,4,"[2022, 2023, 2024, 2025]"
bunny,4,"[2022, 2023, 2024, 2025]"
jessica audiffred,4,"[2022, 2023, 2024, 2025]"
lady faith,4,"[2022, 2023, 2024, 2025]"
armin van buuren,4,"[2022, 2023, 2024, 2025]"
matroda,4,"[2022, 2023, 2024, 2025]"
kaskade,4,"[2022, 2023, 2024, 2025]"
deorro,4,"[2022, 2023, 2024, 2025]"
adrenalize,4,"[2022, 2023, 2024, 2025]"
trouble,4,"[2022, 2023, 2024, 2025]"
tiësto,4,"[2022, 2023, 2024, 2025]"
special guest,4,"[2022, 2023, 2024, 2025]"
assembly,4,"[2022, 2023, 2024, 2025]"
bones,4,"[2022, 2023, 2024, 2025]"
dom dolla,4,"[2022, 2023, 2024, 2025]"
svdden death,4,"[2022, 2023, 2024, 2025]"
level up,4,"[2022, 2023, 2024, 2025]"
lil texas,4,"[2022, 2023, 2024, 2025]"
marc v,4,"[2022, 2023, 2024, 2025]"
soren,4,"[2022, 2023, 2024, 2025]"
sub zero project,4,"[2022, 2023, 2024, 2025]"
fireworks,4,"[2022, 2023, 2024, 2025]"
excision,4,"[2022, 2023, 2024, 2025]"
fisher,4,"[2022, 2023, 2024, 2025]"
d-sturb,4,"[2022, 2023, 2024, 2025]"
hugel,4,"[2022, 2023, 2024, 2025]"
da tweekaz,4,"[2022, 2023, 2024, 2025]"
baggi,4,"[2022, 2023, 2024, 2025]"
fester,3,"[2022, 2023, 2024]"
dj snake,3,"[2022, 2024, 2025]"
kai wachi,3,"[2022, 2023, 2024]"
subtronics,3,"[2022, 2023, 2024]"
heidi lawden,3,"[2022, 2023, 2024]"
omar santana,3,"[2022, 2023, 2024]"
ben nicky,3,"[2022, 2023, 2025]"
dknow (mc dino),3,"[2022, 2023, 2024]"
highlnd,3,"[2022, 2023, 2024]"
anime,3,"[2022, 2023, 2025]"
ferry corsten,3,"[2022, 2023, 2024]"
fury,3,"[2022, 2023, 2024]"
vintage culture,3,"[2022, 2024, 2025]"
eli brown,3,"[2023, 2024, 2025]"
i hate models,3,"[2022, 2023, 2025]"
noizu,3,"[2023, 2024, 2025]"
illenium,3,"[2022, 2024, 2025]"
odd mob,3,"[2023, 2024, 2025]"
taylor kade,3,"[2022, 2024, 2025]"
nightstalker,3,"[2022, 2023, 2024]"
audiofreq,3,"[2022, 2023, 2024]"
atliens,3,"[2022, 2024, 2025]"
vini vici,3,"[2022, 2023, 2025]"
nick garcia,3,"[2022, 2023, 2024]"
james hype,3,"[2022, 2023, 2025]"
fallen,3,"[2022, 2023, 2024]"
neon deluz,3,"[2022, 2024, 2025]"
arman.,3,"[2023, 2024, 2025]"
cosmic gate,3,"[2022, 2023, 2025]"
riot ten,3,"[2022, 2023, 2025]"
harmson,3,"[2022, 2023, 2024]"
dimension,3,"[2023, 2024, 2025]"
kaysin,3,"[2023, 2024, 2025]"
abana,3,"[2022, 2023, 2024]"
deadly guns,3,"[2022, 2023, 2024]"
yellow claw,3,"[2022, 2023, 2025]"
blake webber,3,"[2022, 2023, 2024]"
simfonik,3,"[2023, 2024, 2025]"
darren styles,3,"[2022, 2023, 2025]"
acraze,3,"[2022, 2023, 2024]"
martin garrix,3,"[2023, 2024, 2025]"
levenkhan,3,"[2023, 2024, 2025]"
blastoyz,3,"[2022, 2023, 2024]"
discrete,3,"[2023, 2024, 2025]"
zedd,3,"[2022, 2023, 2024]"
damon sharpe,3,"[2022, 2024, 2025]"
loco dice,3,"[2023, 2024, 2025]"
slander,3,"[2023, 2024, 2025]"
sound rush,3,"[2022, 2023, 2024]"
soul purpose,3,"[2022, 2024, 2025]"
frosttop,3,"[2022, 2023, 2024]"
tim clark,3,"[2023, 2024, 2025]"
giuseppe ottaviani,3,"[2022, 2023, 2024]"
eric prydz,3,"[2022, 2024, 2025]"
lady sinclair,3,"[2022, 2023, 2025]"
meduza,3,"[2022, 2023, 2025]"
alok,3,"[2022, 2023, 2025]"
habstrakt,3,"[2022, 2023, 2024]"
alison wonderland,3,"[2023, 2024, 2025]"
westend,3,"[2022, 2023, 2024]"
party dads,3,"[2022, 2024, 2025]"
mau p,3,"[2023, 2024, 2025]"
alesso,3,"[2022, 2024, 2025]"
kream,3,"[2022, 2023, 2024]"
boogie t,3,"[2022, 2023, 2024]"
biscits,3,"[2022, 2023, 2025]"
deeper purpose,3,"[2022, 2023, 2024]"
sidepiece,3,"[2022, 2023, 2025]"
fredy lane,2,"[2023, 2024]"
ray volpe,2,"[2023, 2025]"
quality g,2,"[2024, 2025]"
reaper,2,"[2022, 2023]"
qlank,2,"[2022, 2023]"
francis mercier,2,"[2022, 2025]"
fetish,2,"[2022, 2023]"
friction,2,"[2022, 2023]"
€uro tra$h,2,"[2022, 2025]"
remk,2,"[2022, 2024]"
death code,2,"[2024, 2025]"
devin wild,2,"[2024, 2025]"
dennis cruz,2,"[2022, 2025]"
shiba san,2,"[2022, 2024]"
demigod,2,"[2022, 2023]"
shlømo,2,"[2024, 2025]"
deborah de luca,2,"[2022, 2024]"
dead x,2,"[2024, 2025]"
dillon francis,2,"[2022, 2024]"
david guetta,2,"[2023, 2024]"
darksiderz,2,"[2022, 2024]"
skellytn,2,"[2023, 2024]"
d!ced,2,"[2022, 2024]"
crystal skies,2,"[2022, 2024]"
softest hard,2,"[2022, 2023]"
seven lions,2,"[2022, 2024]"
sara landry,2,"[2024, 2025]"
emo nite,2,"[2023, 2025]"
rohaan,2,"[2023, 2024]"
replicant,2,"[2022, 2024]"
rezz,2,"[2022, 2025]"
richter,2,"[2022, 2023]"
riordan,2,"[2024, 2025]"
roadhouse,2,"[2024, 2025]"
rob gee,2,"[2022, 2023]"
dreya v,2,"[2023, 2024]"
disco lines,2,"[2023, 2025]"
dr. apollo,2,"[2022, 2023]"
funtcase,2,"[2022, 2023]"
dombresky,2,"[2023, 2025]"
dj minx,2,"[2023, 2024]"
dj isaac,2,"[2022, 2023]"
san pacho,2,"[2023, 2024]"
dr phunk,2,"[2022, 2023]"
honeyluv,2,"[2022, 2024]"
pretty pink,2,"[2022, 2023]"
pocket,2,"[2024, 2025]"
max low,2,"[2022, 2023]"
ky william,2,"[2024, 2025]"
max styler,2,"[2024, 2025]"
ksofresko,2,"[2022, 2023]"
koven,2,"[2022, 2024]"
korolova,2,"[2023, 2025]"
kompany,2,"[2022, 2025]"
memba,2,"[2022, 2023]"
kittrix,2,"[2022, 2024]"
kian,2,"[2024, 2025]"
mitis,2,"[2022, 2024]"
kendoll,2,"[2022, 2024]"
miyuki,2,"[2024, 2025]"
mochakk,2,"[2023, 2025]"
kayzo,2,"[2022, 2024]"
kasablanca,2,"[2022, 2024]"
kami,2,"[2022, 2025]"
matt steffanina,2,"[2022, 2023]"
matt fax,2,"[2022, 2023]"
matt faulk,2,"[2024, 2025]"
marauda,2,"[2022, 2024]"
maddix,2,"[2024, 2025]"
luttrell,2,"[2022, 2024]"
majestic,2,"[2022, 2024]"
malcolm zeller,2,"[2024, 2025]"
lucky lou,2,"[2024, 2025]"
manolo,2,"[2022, 2023]"
loud luxury,2,"[2023, 2025]"
mark lizaola,2,"[2022, 2024]"
layz,2,"[2024, 2025]"
liquid stranger,2,"[2022, 2025]"
lf system,2,"[2024, 2025]"
martin ikin,2,"[2022, 2023]"
mary droppinz,2,"[2022, 2024]"
le youth,2,"[2023, 2025]"
masha mar,2,"[2022, 2025]"
masteria,2,"[2022, 2023]"
kallaghan,2,"[2022, 2024]"
kaleena zanders,2,"[2022, 2023]"
k.gianni,2,"[2024, 2025]"
hannah laing,2,"[2024, 2025]"
nostalgix,2,"[2022, 2023]"
hot since 82,2,"[2023, 2025]"
hol!,2,"[2023, 2024]"
og nixin,2,"[2023, 2024]"
hint of lavender,2,"[2023, 2024]"
hedex,2,"[2024, 2025]"
harristone,2,"[2024, 2025]"
hana,2,"[2022, 2023]"
imanu,2,"[2022, 2023]"
hamdi,2,"[2023, 2024]"
partiboi69,2,"[2022, 2025]"
paul oakenfold,2,"[2024, 2025]"
paul van dyk,2,"[2022, 2024]"
pauline herr,2,"[2022, 2023]"
