artist,followers,streams,playlists,playlist reach,charts,shazams,videos,views,dj supports
1080p,6,5986,1,641,0,17,45,9800,0
a shade of black,0,15100,0,11000,7,0,0,0,0
aaron k,1,2163,0,0,1,4,2,0,0
abana,7710,468000,175,4220000,60,15300,110,1890000,93
d. zeledon,5776,69600,25,218000,18,764,31,9672,58
acraze,828000,1630000000,23700,604000000,2744,12600000,2890000,22200000000,7698
kream,1490000,1530000000,17600,315000000,887,3570000,335000,475000000,9987
adam beyer,3780000,254000000,8314,123000000,822,2000000,24700,166000000,14600
adam pearce,25500,19800000,810,21900000,157,14100,1632,2440000,59
adam x,36300,569000,90,453000,96,5981,36,9173,54
adrenalize,318000,134000000,2708,15400000,157,174000,2018,9820000,2887
wasted penguinz,697000,214000000,2623,18600000,173,343000,3498,15600000,2704
adventure club,4040000,1260000000,8099,98300000,517,4400000,48600,74200000,1599
afrodisiac,4515,1620000,90,576000,1,2405,123,49900,0
airglo,31700,6690000,641,5910000,172,34600,787,2080000,356
airwolf paradise,79200,40400000,2569,42900000,347,435000,3346,25800000,2357
akaio,30,10700,1,689,0,4,1,163,0
alchimyst,121000,15700000,836,17700000,235,101000,43400,85800000,525
alesso,22400000,11700000000,60400,901000000,3321,67900000,627000,1940000000,35200
algo,72400,7800000,420,15000000,33,11100,221,520000,378
alison wonderland,4179999,901000000,10200,188000000,706,3240000,50100,163000000,5183
aly & fila,3110000,300000000,3285,35800000,991,3190000,21500,33400000,18400
andrew bayer,536000,162000000,3702,56100000,784,1970000,33400,258000000,10300
andrew rayel,2060000,469000000,6704,115000000,763,2760000,53200,103000000,14800
andruss,145000,124000000,4762,81700000,742,1570000,31700,129000000,5255
angerfist,4740000,955000000,4856,23500000,532,1410000,78300,204000000,7874
argy,1720000,686000000,9390,151000000,1436,9370000,487000,1200000000,11000
armin van buuren,35200000,14400000000,57000,656000000,3203,80900000,2490000,6.99N,79400
armnhmr,553000,220000000,3127,56000000,388,276000,8682,40500000,1309
assembly,676,15600,0,0,2,54,1,1938,0
atliens,1030000,192000000,2815,20600000,311,412000,22300,110000000,2140
atmozfears,765000,363000000,5110,46600000,341,677000,4473,13600000,7478
audiofreq,298000,58000000,2105,13400000,206,161000,3049,2360000,4040
azzecca,106000,37000000,2681,62000000,298,421000,5790,21300000,1516
baggi,155000,104000000,1467,13100000,137,1290000,60600,42400000,1593
bec,154000,9250000,852,15300000,222,48600,647,16200000,1091
ben hemsley,411000,146000000,3665,59100000,790,801000,19900,80000000,2833
ben sterling,231000,17100000,2037,20600000,314,209000,1061,6430000,2572
benny benassi,5710000,6320000000,46700,537000000,2659,41900000,1860000,10400000000,17200
bianca oblivion,44600,3800000,724,15900000,180,68600,958,4179999,332
blake webber,1680000,2470000,206,9430000,17,6377,898,10400000,48
blake.,1116,139000,29,363000,0,258,19,6086,0
blastoyz,2100000,290000000,3606,31000000,542,1070000,39800,80100000,2363
blklght,30800,7560000,313,5890000,30,35800,664,22800000,61
bones,3560000,5200000000,13300,76400000,883,11500000,1260000,4610000000,7
boogie t,752000,177000000,1957,16700000,202,231000,17900,16399999,1009
bou,965000,865000000,7131,122000000,1079,3170000,101000,469000000,5070
bowie jane,94800,746000,43,364000,12,43100,87,181000,5
brandi cyrus,1270000,2170000,107,1970000,49,1140,402,951000,0
brina knauss,315000,4690000,664,10100000,128,35200,499,7300000,293
bryan kearney,672000,137000000,3248,20700000,596,964000,22600,33299999,12700
bryan matthew,404000,53,60700,0,1,0,1,388000,0
bunny,12900,15100000,253,12100000,28,7527,455,5680000,52
calussa,66900,58400000,3822,62400000,344,620000,11600,42600000,2300
camden cox,88300,278000000,0,196000000,968,2080000,30700,227000000,3700
carl cox,8780000,339000000,10100,130000000,1117,2350000,32000,92500000,8394
nicole moudaber,1910000,78900000,4467,69200000,715,1010000,10400,29600000,9946
caspa,798000,108000000,1449,12500000,216,699000,6711,124000000,1247
cassian,700000,292000000,8860,148000000,872,2630000,65600,214000000,8376
castor & pollux,62200,9980000,1166,31900000,61,35800,664,2049999,863
cat & maomi,0,13600,0,191000,3,0,0,37500,3
celo,13400,2360000,252,1930000,42,5282,368,684000,351
chef boyarbeatz,69300,4390000,431,3690000,49,12200,641,1090000,209
chelina manuhutu,517000,4410000,683,9540000,119,43700,858,2940000,536
chibs,153000,32900000,852,2970000,117,34000,2015,17400000,586
clawz,21100,426000,67,974000,5,955,41,240000,3
dømina,212000,3200000,170,4770000,31,15500,1502,4560000,31
codeko,161000,187000000,0,90600000,433,318000,15200,22700000,1132
crankdat,2870000,499000000,5609,108000000,592,934000,37800,234000000,8934
creeds,457000,819000000,9919,214000000,1639,5230000,1170000,3630000000,1863
helen ka,7848,20800000,388,1280000,28,50100,780,1190000,33
cristoph,340000,417000000,10200,165000000,1153,3680000,24100,53400000,12800
crystal skies,173000,142000000,2870,35300000,428,252000,9382,16600000,817
culture shock,493000,294000000,4348,49200000,755,1230000,13500,29600000,5474
d!ced,1914,9896,8,150000,0,9,1,0,0
d-sturb,494000,407000000,4478,33900000,390,518000,6959,33800000,7258
da tweekaz,1890000,1450000000,10400,71000000,932,2730000,322000,932000000,11800
dabin,883000,775000000,7395,104000000,927,1220000,45600,140000000,2508
damon sharpe,303000,148000000,4870,151000000,378,277000,5480,105000000,1173
david guetta,176000000,73600000,169000,1770000000,6579,362000000,17100000,49200000000,76000
daxson,358000,44900000,975,8790000,388,239000,36300,48700000,5357
dead x,24300,9820000,519,3370000,64,8610,377,1060000,24
levenkhan,41500,34700000,1133,7640000,162,71000,4588,17600000,195
deadly guns,499000,299000000,2909,16300000,288,404000,7017,34800000,3194
deadmau5,23500000,4340000000,28500,360000000,2108,21000000,332000,1070000000,24300
death code,3145,4000000,380,1860000,55,5551,179,502000,187
