Artist,Year,Genre
Nederhand,2022,Unknown
Prinz,2022,Techno
Delafino,2022,House
Yamo,2022,"Electronic, Experimental"
Alexander Merlin,2022,Unknown
Odssey,2022,Deep House
Double Pleasure,2022,House
Meaghan,2022,Electronic
Robert Falcon,2022,Unknown
D'Angello & Francis,2022,Unknown
MATTN,2022,"Commercial Dance, Traditional House"
Regis vs Yves V,2022,Unknown
W&W,2022,Trance
OGENN b2b One Track Brain,2022,Techno
Onyvaa,2022,Techno
Indira Paganotto,2022,Techno
Chris Liebing,2022,Techno
Enrico Sangiuliano,2022,"Electronica, Techno"
Charlotte de Witte,2022,Techno
More to be announced,2022,Unknown
Psytox,2022,"Hardstyle, Rawstyle, Electronic"
Insolate,2022,Techno
Klaudia Gawlas,2022,"Electronic, Techno"
Salome,2022,Unknown
Cynthia Spiering,2022,Unknown
Volvox,2022,"Techno, Electro"
SPFDJ,2022,Techno
Nick Bril,2022,"House, Techno"
A Local Hero,2022,"Electronic, Dance"
Jaden Thompson,2022,Unknown
DJ Holographic,2022,"Deep House, Classic House"
Kevin Saunderson,2022,"Tech House, Techno"
Seth Troxler,2022,"Tech House, Techno"
Elliot Fitch,2022,Unknown
Guz,2022,"Electronic, House, Techno"
LP Giobbi,2022,House
Lucas & Steve,2022,"Commercial Dance, Hard Dance, Traditional House"
Vintage Culture,2022,"Commercial Dance, Electro House, Electronica, Traditional House"
DIPLO,2022,"Electro House, Indie / Underground"
John Summit,2022,Techno
Kenn Colt,2022,"Electro House, Progressive House"
Goldfox,2022,"Electronic, Dance"
Yotto,2022,"Progressive House, Traditional House"
Cristoph,2022,Unknown
Ida Engberg,2022,Techno
Joris Voorn,2022,"Tech House, Techno"
Eric Prydz presents HOLO,2022,"Progressive House, Techno"
OB1,2022,Unknown
Fuzz B2B OB1,2022,Unknown
Fuzz,2022,Tech House
Olivier Gosseries,2022,Unknown
Assia MK,2022,Unknown
Rick & James,2022,"80's Pop, Disco, Funk"
Puri,2022,Top40
Bobalicious,2022,Unknown
Reygel,2022,"Electronic, Dance"
Jerro,2022,Unknown
Lauren Mia,2022,Techno
Rebecca & Fiona,2022,Progressive House
Marsh,2022,"Deep House, Progressive House"
Spencer Brown,2022,Progressive House
SIDEPIECE,2022,Unknown
Tinlicker,2022,"Progressive House, Techno"
Sinjo,2022,Unknown
Dennis Quin,2022,Unknown
Iris Menza,2022,Unknown
Djebali,2022,Tech House
Demarzo,2022,Unknown
Prunk B2B Mhigh,2022,Unknown
Artmann,2022,Unknown
Jamie Jones,2022,Tech House
Yves Deruyter,2022,Trance
Matisse & Sadko,2022,Progressive House
B Jones,2022,"Dance, Electronic, Hip-Hop, Rap"
