,Hostname,Stage Name,Artist,Timeslot,Date,Year,Day,Weekend,Genre
0,The Gathering,The Gathering,DJ Kaspa,13:30 - 14:15,20 July,2023,Thursday,Weekend 1,Techno
1,The Gathering,The Gathering,Donelly,14:15 - 15:00,20 July,2023,Thursday,Weekend 1,Pop
2,The Gathering,The Gathering,Livado,15:00 - 15:45,20 July,2023,Thursday,Weekend 1,House
3,The Gathering,The Gathering,Laura Hoogland,15:45 - 16:30,20 July,2023,Thursday,Weekend 1,Trance
4,The Gathering,The Gathering,Prinz,16:30 - 17:15,20 July,2023,Thursday,Weekend 1,Techno
5,The Gathering,The Gathering,Amari,17:15 - 18:00,20 July,2023,Thursday,Weekend 1,House
6,The Gathering,The Gathering,Emilija,18:00 - 18:45,20 July,2023,Thursday,Weekend 1,Techno
7,The Gathering,The Gathering,Makasi,18:45 - 19:30,20 July,2023,Thursday,Weekend 1,House
8,The Gathering,The Gathering,Maxim Lany,19:30 - 20:15,20 July,2023,Thursday,Weekend 1,"House, Deep House"
9,The Gathering,The Gathering,USED,20:15 - 21:00,20 July,2023,Thursday,Weekend 1,"Hardstyle, Rawstyle"
10,The Gathering,The Gathering,Amber Broos,21:00 - 21:45,20 July,2023,Thursday,Weekend 1,Techno
11,The Gathering,The Gathering,Alok,21:45 - 22:30,20 July,2023,Thursday,Weekend 1,Commercial Dance
12,The Gathering,The Gathering,Dimitri Vegas & Like Mike,22:30 - 23:15,20 July,2023,Thursday,Weekend 1,Commercial Dance
13,The Gathering,The Gathering,Sub Zero Project,23:15 - 00:00,20 July,2023,Thursday,Weekend 1,Commercial Dance
14,Drumcode,Atmosphere,SHDDR,12:00 - 14:00,21 July,2023,Friday,Weekend 1,"Electronic, Techno"
15,Drumcode,Atmosphere,Carmen Lisa,14:00 - 16:00,21 July,2023,Friday,Weekend 1,"Pop, R&B"
16,Drumcode,Atmosphere,Juliet Fox,16:00 - 18:00,21 July,2023,Friday,Weekend 1,Tech House
17,Drumcode,Atmosphere,Eli Brown,18:00 - 19:30,21 July,2023,Friday,Weekend 1,"Commercial Dance, Electronica, Tech House, Traditional House"
18,Drumcode,Atmosphere,HI-LO b2b Layton Giordani,19:30 - 21:30,21 July,2023,Friday,Weekend 1,Techno
19,Drumcode,Atmosphere,Joris Voorn,21:30 - 23:00,21 July,2023,Friday,Weekend 1,"Tech House, Techno"
20,Drumcode,Atmosphere,Adam Beyer,23:00 - 01:00,21 July,2023,Friday,Weekend 1,Techno
21,Cage,Cage,Wanton,12:00 - 14:00,21 July,2023,Friday,Weekend 1,Electronic
22,Cage,Cage,Jan Vercauteren,14:00 - 16:00,21 July,2023,Friday,Weekend 1,"Electronic, House, Techno"
23,Cage,Cage,Patrick Mason,16:00 - 18:00,21 July,2023,Friday,Weekend 1,"Trance, Progressive House"
